nbr_clauses,temps,memUsage
325,0.000000,1312
325,0.002000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.001000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
325,0.000000,1312
